stage,Epithelial,Erythroid,Neuron,Secretory,Stromal
24hpf,0,0,1,0,0
72hpf,0,0,1.13,0,0
21Day,0.37,0.37,0,0.37,0
22Month,0.55,0,0,0,0.14
