stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,1,0,0,4,0,0
72hpf,0,0,0.28,3.1,0,0
21Day,0.74,2.96,0.37,2.96,0.37,4.07
