stage,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,1,0,1
72hpf,0,0.28,0,2.54,0,0
21Day,0,0,0.37,8.88,0,0
3Month,0.21,0.21,0,1.35,0.1,0
