stage,Epithelial,Germ,Immune,Neuron,Other,Secretory
24hpf,2,0,0,0,0,0
72hpf,0,0,0,0.28,0,0
21Day,0,0,0,1.48,0,0
3Month,0.42,0.1,0.1,0,0,0.1
22Month,0.55,0.27,0,0,0.14,0
