stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron
72hpf,0,0.56,0.28,0,0,9.02
21Day,0,0,0.37,0,0,6.66
3Month,0,0.52,0,0,0.1,0
22Month,0.27,1.09,0,1.5,0,0
