stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,12,0,1,0,21,1,10
72hpf,0,3.1,0.28,0,0,1.13,0,0
21Day,0,0.37,0,0,0,0,0,0
3Month,0,0,0.1,0,0,0,0,0
22Month,1.37,21.59,59.44,8.75,0.41,1.37,2.73,2.32
