stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0.28,0
21Day,0,0,0,0.74,0,0,0
3Month,0.42,0.1,11.34,0.1,0.1,0,0.1
22Month,0,0,0.82,0,0,0,0
