stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,5,0,0,0,1,140,0,0
72hpf,10.15,0.56,0,0,2.54,211.39,0,3.66
21Day,2.96,0,0,0,0,27.38,0.37,0.37
3Month,1.04,0,0.83,0.31,0,0.52,0.21,0.1
22Month,1.23,0,0,0.55,0,1.5,0.14,0.14
