stage,Epithelial,Erythroid,Neuron,Other,Stromal
24hpf,1,0,1,0,0
72hpf,0,0,3.95,0,0.28
21Day,0,0.37,6.66,0,0.37
3Month,0.42,0,0.1,0,0
22Month,0.41,0,0,0.14,0.14
