stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,1.69,0,0.28
21Day,0,6.66,0,0,1.85,0.37,0,0.74
3Month,0.1,3.74,0.42,0.52,0,0.62,0,0.1
22Month,0.55,16.12,0,1.09,0.14,0.14,2.32,0.41
