stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
21Day,0.37,0,0,0,0,0
3Month,4.68,71.88,1.46,0.1,0.42,0.42
22Month,0.14,0.55,0,0,0,0.14
