stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,1,0,0,0
72hpf,0,1.13,0,0,0,0.85,0,0
21Day,0,0,0,0.37,0,0.37,0,0
3Month,0.1,5.82,0.31,1.04,0,0,0,0.21
22Month,0,2.46,0,0.27,0,0.14,0.27,0
