stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,5,0,2
72hpf,1.13,0,0,0,1.97,0,2.25
21Day,1.48,0,0,0,1.48,0.37,1.11
3Month,0.1,0,0.31,0.1,0,0,0.1
22Month,1.09,0.14,0,0.82,0,0,0.27
