stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Stromal
72hpf,0,0,0,0,4.51,0,0
21Day,0,0,0,0.37,1.11,0,0
3Month,0,1.56,0.1,0,0,0,1.35
22Month,0.14,1.78,0.14,0.41,0,0.55,0.55
