stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0,0,0.37
3Month,15.71,0.42,0,0,0.1,0.42,0.1
22Month,22.41,0.55,0.14,0.27,0.41,0,0.27
