stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,6,0,1
72hpf,2.25,0.85,0,1.69,0,0.28
21Day,1.85,0,0,1.11,0.37,0.37
3Month,0.21,0.1,0.1,0.1,0,0
22Month,0.41,0,0,0,0,0
