stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,3,1,0,1
72hpf,0,0,0,0,0,0.56,0,0
21Day,0,0,0.37,0,7.77,0.37,0,0
3Month,0.21,1.87,0,0.52,24.13,0,0.1,0.21
22Month,0,1.5,0,0.55,2.05,0,0,0
