stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,2,1,16,0,4
72hpf,0.56,2.54,0.28,0.28,0.28,15.22,0.85,4.23
21Day,0,2.59,0,0,0.74,1.85,0,2.22
3Month,0,0.42,0,0,0,0,0,0.1
22Month,0,0.55,0,0,0,0,0,0
