stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
21Day,0.37,0,0.74,0,0,1.11
3Month,0.42,0.1,0.31,0,0.1,0
22Month,0.68,0,0.27,0.14,0,0
