stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Stromal
24hpf,1,3,0,0,0,3,1,4
72hpf,0,0.85,0.28,0,0,0.85,0,0.28
21Day,0,1.85,0,0,0.37,0.37,0,0.37
3Month,0,2.18,0,9.05,0.1,0,0,0.31
