stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,1,0,0,3,0
72hpf,0,0,0,1.13,0.28
21Day,0,0.37,0,1.11,0
22Month,0,0.41,0.14,0,0.14
