stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,1,0,0,0,5,0
72hpf,0.28,0.28,0,0.28,3.38,0.28
21Day,0.74,2.22,0,0.37,3.33,0.37
3Month,0.52,0,0.62,0.1,0,0
