stage,Epithelial,Erythroid,Germ,Neuron,Other
72hpf,0,0,0,2.25,0
21Day,0.37,0.37,0,1.11,0
3Month,0.1,0,0.1,0,0
22Month,0.68,0,0,0,0.14
