stage,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,1,0,0
72hpf,0,0,8.17,0,0.28
21Day,0.37,0,1.85,0.74,0.37
3Month,0.21,0.21,0,0.1,0
22Month,0.41,0,0.14,0.27,0
