stage,Epithelial,Erythroid,Germ,Stromal
24hpf,1,0,0,0
72hpf,1.69,0,0,0
21Day,2.22,0,0,0.74
3Month,0.21,0,0.1,0
22Month,0.27,0.14,0,0
