stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,1,0,0,3,0,0,0
72hpf,0,0.28,0,1.41,0,0,0
21Day,0,0,0,1.48,0,0,0.74
3Month,0.1,2.5,0.21,0,0,0.52,0
22Month,0.68,4.24,0.68,0,0.14,2.87,1.09
