stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory
24hpf,2,0,0,0,1,0,0
72hpf,1.13,0,3.38,0,0.28,0,0
21Day,3.33,0.37,11.84,0.37,0,0,0
3Month,6.66,0,0.83,0,0,0,0
22Month,8.34,0,32.8,0,0,0.14,0.14
