stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0.56,0,0
21Day,0,0,0,1.11,0,0
3Month,0.42,0.1,0.1,0,0,0.1
