stage,Epithelial,Erythroid,Germ,Muscle,Other,Stromal
24hpf,1,0,0,0,0,0
72hpf,0,0,0,0,0,0.28
21Day,0.74,0,0,0,0,0
3Month,0.42,0,0.1,0.1,0,0
22Month,1.09,0.14,0,0,0.14,0
