stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,0,1,1,1
72hpf,0.28,0.56,0,0.28,0,0
21Day,0.74,3.33,0,0,0,0
3Month,0.21,11.03,0.42,0,0,0.1
22Month,0,7.79,0,0,0.14,0.14
