stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,4,0,0
72hpf,0.28,0.28,0,16.35,0,0.85
21Day,0,0,0,11.47,0.37,0.37
3Month,0.1,0,0.1,0,0.1,0
