stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,1,0,0,0,0,1
72hpf,0,0.56,0.28,0,0,0.28
21Day,0,1.11,0,0,0,0.37
3Month,0,0.83,0,2.29,0.1,0
22Month,0,1.09,0,0,0.14,0
