stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,1,0,0,0,1
72hpf,0.28,0.28,0,0.56,0.28
21Day,0.37,0.37,0.37,0,0.74
3Month,0.52,0,0.31,0,0
22Month,0.27,0,0.55,0.14,0
