stage,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,0,8.74,0
21Day,0,0,0.37,4.44,0.37
3Month,0.21,0,0.1,0,0
22Month,0.82,0.14,0.14,0,0
