stage,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,0,1,0
72hpf,1.41,0,0,0,0.28,0.28
21Day,1.85,0.37,0,0.37,0.74,0.37
3Month,1.46,0.21,0.1,0.31,0,0
