stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,1,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.85,0,0
21Day,0,1.11,0.37,0,0.37,0,0,0
3Month,0.21,4.06,0,10.71,0.52,0,0.83,0.42
22Month,0,2.05,0,0.55,0,0,0.27,0.14
