stage,Epithelial,Erythroid,Muscle,Neuron,Secretory
24hpf,1,0,0,1,0
72hpf,0.28,0.56,0.56,5.64,1.13
21Day,0.37,0,0.37,5.55,0.37
3Month,0.31,0,0,0,0
22Month,0,0,0,0.41,0
