stage,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,31,1,0
72hpf,0,0,0.56,0,0
21Day,0.37,0,1.85,0,0
3Month,0,0.1,0.52,0,0
22Month,0.14,0,5.33,0,0.14
