stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,0,1,0,18,0
72hpf,0.28,0,0,0.85,7.89,1.13
21Day,0,1.85,1.48,0.37,1.48,1.85
22Month,1.37,0,0.55,0.14,1.09,0.55
