stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,0,1,0,0
72hpf,0,0.28,0,0,0.28
21Day,0,1.48,1.48,0.37,0
3Month,0.1,0.21,0,0,0
