stage,Epithelial,Immune,Muscle,Neuron,Other
24hpf,0,0,0,1,0
72hpf,0,0,0,2.25,0
21Day,0,0,0,1.48,0
3Month,0.1,0.1,0.1,0,0
22Month,0.82,0.27,0,0.14,0.14
