stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,0,0,3.95,0,0
21Day,0,0,0,1.48,0,0.37
3Month,1.77,0.1,0,0,0,0
22Month,21.32,0.14,0.27,0,0.14,0
