stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other
24hpf,1,0,0,0,0,1,0
72hpf,0,0,0,0,0,2.54,0.28
21Day,0.37,0.37,0,0,0.37,0.74,0
3Month,1.35,0,0.42,0.31,0,0,0
22Month,0.55,0,0,0.14,0,0,0
