stage,Epithelial,Erythroid,Germ,Muscle,Secretory,Stromal
24hpf,1,0,0,0,0,1
21Day,0,0.37,0,0,0,0
3Month,0.62,0,10.92,0.1,0.1,0.1
22Month,0.27,0,0.82,0,0,0
