stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,0,1.97,0,0,0,0,0,0
21Day,0,0.74,4.07,0,0,0,0,0,0.37
3Month,0.1,2.7,0.42,0.1,0.42,0.21,0,0,0.62
22Month,0.27,8.2,0,0.14,0.14,0.14,0.14,0.14,0.41
