stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Stromal
21Day,0,1.85,0,0.37,0.37,0,0.37
3Month,0.1,2.29,0.21,5.41,0,0,0.31
22Month,0,1.64,0.27,5.06,0,0.14,0
