stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,1,0,1
72hpf,0,0.28,0,0,0,8.74,0,0.56
21Day,0.37,1.85,0.37,0.37,0,6.66,0.74,1.11
3Month,0,0.73,0,0.73,0.31,0.1,0,0
22Month,0.14,2.87,0,0.27,0.27,0,0,0.55
