stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,1,1,0,0,0,2,0,0
72hpf,0.56,1.69,0,0.28,0,8.46,0,2.25
21Day,0.37,0.74,0.37,0,0.37,1.85,0,3.33
3Month,0,0.1,0,0,0,0,0.1,0.21
22Month,0,0.55,0,0,0,0,0,0
