stage,Epithelial,Erythroid,Germ,Muscle,Neuron
72hpf,0,0,0,0,0.85
21Day,0.37,0,0,0,0
3Month,0.21,0.1,0.21,0,0.1
22Month,0.41,0,0,0.14,0
