stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,3,0,0,0,0,0,1
72hpf,0.85,0.28,0.28,0.28,0.28,0.28,0
21Day,1.11,0,0,0,0.74,0,0.37
3Month,0.31,0,0.42,0,0,0,0
22Month,0,0,0.41,0,0,0,0
