stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,0,1,0
72hpf,0,1.13,0,0,0,1.69,0
21Day,0,0.74,0,0.37,0.37,1.11,0
3Month,0,0.73,0,0.31,0.1,0.1,0
22Month,0.14,0.82,0.14,0.27,0.14,1.78,0.14
