stage,Epithelial,Erythroid,Germ,Neuron,Other,Stromal
72hpf,0.28,0.28,0,14.94,0.28,0
21Day,0.74,0.37,0,7.77,0,0
3Month,0.62,0,0.21,0.21,0,0
22Month,0.41,0,0,0.14,0,0.27
