stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,2,0,0
72hpf,0,0,0,0,0,3.1,0.28,0.28
21Day,0,0.37,0,0,0.37,1.11,0.37,0.37
3Month,0.1,0.94,0,3.85,0.1,0,0.1,0.1
22Month,0,3.01,0.14,0.68,0,0,0,0.14
