stage,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,13,0,1
72hpf,0.28,0,0.56,0.28,0,0.28
21Day,0.37,0,0,0,0,0.37
3Month,0,0.1,0,0,0.1,0
22Month,0.27,0,0,0,0.14,0
