stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
72hpf,0,0,0,0,1.41,0,0
21Day,0.37,0,0,0,3.7,0,0
3Month,3.12,0,0.94,0.83,0.1,0,0.42
22Month,5.74,0.14,0.96,0.41,0.27,0.14,0.41
