stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,3,7
72hpf,0,1.41,10.43,0,1.13,0.85,0
21Day,0,0.74,0.74,0.37,0,0,0
3Month,0.1,0.1,0,0.1,1.25,0.1,0
