stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory
24hpf,0,0,0,0,1,0,0,0
3Month,0,20.39,0.1,0.52,0.52,0.31,0,0.21
22Month,0.14,9.43,0,0,0.27,0,0.82,0
