stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,0,5,0,6
72hpf,0.28,0.56,0,0,0,0.56,0,2.54
21Day,0,0,0.37,0,0,0.37,0.37,0
3Month,0,0.83,0,3.85,0.1,0,0,0.21
22Month,0,0.14,0,0,0,0,0,0.14
