stage,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,0,0,0,0,1
72hpf,0.28,0,0,0,4.23
21Day,0.37,0.37,0,0.37,9.62
3Month,0.1,0,0.1,0,0.31
22Month,1.23,0,0,0,0
