stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,4,9,0,0,2,0,45,1,0,13
72hpf,0,9.3,2.82,0,0.56,0.56,65.39,1.13,1.13,8.17
21Day,1.11,32.19,25.53,0.37,13.69,4.44,46.62,0,3.7,30.71
3Month,0.83,82.38,1.46,15.81,22.47,3.95,2.08,0.1,1.87,5.41
22Month,2.19,94.42,1.23,1.5,19.27,1.23,2.6,3.42,1.91,4.78
