stage,Epithelial,Erythroid,Immune,Muscle,Stromal
72hpf,3.38,0.28,0,0,0.28
21Day,2.59,0,0.74,0,0
3Month,1.87,0.1,0.94,0.1,0
22Month,0,0,0.27,0,0
