stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,1,0,0
72hpf,0,0,0,9.86,0,0.56
21Day,0,0.37,0.37,9.25,0.74,0
22Month,1.09,0,0.14,0,0,0
