stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,60,0,1,1,17,1,24
72hpf,3.1,0,0,0,0,0,0
21Day,1.85,0.37,0,0.37,0,0,0
3Month,0.52,0,0,0.1,0,0,0
