stage,Endothelial,Epithelial,Germ,Immune,Neuron
24hpf,0,0,0,0,3
72hpf,0,0,0,0,2.82
21Day,0.37,0.37,0,0,2.96
3Month,0,0.21,0.1,0.1,0
